CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_2_MT;MEDIA_5_MT;MEDIA_9_MT;MEDIA_12_MT;MEDIA_13_MT;MEDIA_14_MT;nivel_0_MT2;nivel_1_MT2;nivel_2_MT2;nivel_3_MT2;nivel_4_MT2;nivel_5_MT2;nivel_6_MT2;nivel_7_MT2;nivel_8_MT2;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9
10;Ceará;Privada;Total;754,18;251,88;288,97;321,48;275,83;321,37;0;2,38;11,89;14,28;14,27;26,19;11,91;9,54;9,54;0;0,45;2,5;10,75;17,75;15,85;21,86;17,25;10,15;3,44;0;3,5;6,38;9,68;16,7;20,32;21,74;11,81;7,69;2,18;0
10;Ceará;Privada;Urbana;754,13;251,89;288,97;321,48;;321,48;0;2,38;11,9;14,29;14,29;26,19;11,9;9,52;9,52;0;0,45;2,5;10,75;17,74;15,86;21,84;17,27;10,14;3,44;0;3,51;6,38;9,67;16,71;20,32;21,73;11,82;7,69;2,18;0
10;Ceará;Pública;Rural;726,43;219,74;258,92;259,26;293,33;265,58;5,4;16,01;18,88;18,6;8,28;3,02;18,78;8,08;2,95;1,88;7,08;13,76;17,02;16,98;14,96;11,21;8,03;5,06;3,84;0,17;16,27;12,24;15,25;16,74;16,37;10,94;6,41;3,88;1,89;0
10;Ceará;Pública;Total;749,06;219,93;258,54;262,88;310,04;271,63;4,26;7,16;9,12;12,97;14,93;16,01;16,46;11,87;7,22;1,57;6,25;12,98;17,47;18,51;15,75;11,82;7,69;4,51;3,26;0,19;14,43;12,57;16,18;18,1;17,2;11,55;5,66;2,83;1,48;0
10;Ceará;Pública;Urbana;755,3;219,98;258,43;263,11;311,08;272,01;3,94;4,72;6,43;11,42;16,76;19,59;15,81;12,92;8,4;1,48;6;12,75;17,61;18,97;15,99;12;7,58;4,34;3,09;0,19;13,93;12,66;16,43;18,47;17,43;11,72;5,45;2,55;1,37;0
10;Ceará;Total;Rural;726,47;219,77;258,93;259,26;293;265,62;5,4;16;18,87;18,59;8,28;3,03;18,78;8,09;2,96;1,88;7,07;13,75;17,02;16,99;14,95;11,24;8,02;5,07;3,84;0,17;16,27;12,24;15,25;16,74;16,37;10,95;6,41;3,88;1,89;0
10;Ceará;Total;Total;749,63;225,8;262,91;268,7;310;275,73;3,78;6,63;9,43;13,12;14,85;17,15;15,95;11,61;7,48;1,28;5,18;11,06;16,24;18,37;15,77;13,67;9,45;5,54;3,3;0,15;12,86;11,68;15,24;17,9;17,65;13,02;6,54;3,53;1,58;0
10;Ceará;Total;Urbana;755,14;227,21;263,81;269,22;311,08;276,31;3,4;4,4;7,18;11,82;16,42;20,5;15,28;12,45;8,55;1,14;4,74;10,43;16,06;18,69;15,96;14,23;9,78;5,65;3,17;0,15;12,09;11,55;15,24;18,16;17,94;13,48;6,58;3,45;1,51;0
11;Rio Grande do Norte;Privada;Rural;764,26;198,87;269,26;275,24;;275,24;0;0;0;33,33;6,67;13,33;20;13,33;13,33;0;13,04;13,04;34,78;13,04;4,35;17,39;4,35;0;0;0;3,57;21,43;14,29;10,71;25;14,29;10,71;0;0;0
11;Rio Grande do Norte;Privada;Total;753;238,54;285,82;306,1;;306,1;0;3,88;7,76;9,53;28,16;21,92;14,22;6,08;8,46;0,22;1,66;5,92;11,81;19,65;22,73;15,38;13,84;6,19;2,48;0,11;4,6;6,04;11,65;17,21;21,36;18,99;10,85;6,95;2,34;0
11;Rio Grande do Norte;Privada;Urbana;752,91;238,89;285,87;306,21;;306,21;0;3,91;7,82;9,34;28,33;21,99;14,17;6,02;8,42;0,23;1,56;5,86;11,61;19,71;22,89;15,36;13,92;6,24;2,5;0,12;4,6;5,99;11,64;17,23;21,35;19,01;10,85;6,98;2,35;0
11;Rio Grande do Norte;Pública;Rural;711,27;177,63;229,57;237,21;324,53;266,29;14,23;8,82;18,12;23,13;14,79;6,52;11,21;0,32;2,86;8,09;18,18;24,67;22,67;13,91;7,63;3,4;1,1;0,29;0,06;0;25,48;20,61;20,82;17,41;11;3,76;0,77;0,12;0,04;0
11;Rio Grande do Norte;Pública;Total;711,07;187,64;238,18;250,54;315,36;264,74;7,17;13,75;24,53;19,58;16,94;6,94;7,59;1,33;2,16;5,7;14,26;21,92;21,89;16,97;10,91;5,52;2,16;0,53;0,13;0,01;21,03;17,89;20,83;18,4;13,47;6,4;1,5;0,36;0,12;0
11;Rio Grande do Norte;Pública;Urbana;711,02;190,17;239,58;250,99;314,79;264,67;5,68;14,79;25,88;18,83;17,39;7,03;6,83;1,54;2,02;5,09;13,27;21,22;21,69;17,75;11,74;6,06;2,43;0,59;0,15;0,01;20,3;17,45;20,84;18,56;13,87;6,83;1,61;0,4;0,13;0
11;Rio Grande do Norte;Total;Rural;712,1;177,86;229,79;237,83;324,53;266,39;14,01;8,68;17,84;23,29;14,66;6,63;11,35;0,52;3,03;8;18,13;24,55;22,8;13,91;7,59;3,55;1,13;0,29;0,06;0;25,36;20,61;20,78;17,37;11,07;3,82;0,83;0,12;0,04;0
11;Rio Grande do Norte;Total;Total;721,73;197,94;247,21;257,95;315,36;269,18;5,35;11,24;20,27;17,02;19,79;10,75;9,27;2,54;3,76;4,59;11,71;18,68;19,85;17,52;13,3;7,52;4,53;1,67;0,61;0,03;17,91;15,64;19,09;18,18;14,97;8,79;3,27;1,61;0,54;0
11;Rio Grande do Norte;Total;Urbana;723,19;201,84;249,45;258,56;314,79;269,28;4,03;11,63;20,64;16,07;20,57;11,38;8,96;2,84;3,88;3,93;10,46;17,54;19,28;18,22;14,41;8,29;5,19;1,94;0,72;0,03;16,95;15;18,88;18,28;15,47;9,43;3,58;1,8;0,6;0
12;Paraíba;Privada;Rural;749,12;221,79;256,3;;;;0;0;3,13;28,13;25;25;6,25;12,5;0;0;3,57;17,86;7,14;21,43;28,57;7,14;14,29;0;0;0;4,55;13,64;22,73;36,36;9,09;9,09;4,55;0;0;0
12;Paraíba;Privada;Total;753,55;241,39;280,85;304,45;;304,45;1,75;3,29;3,63;19,61;15,02;25,06;20,62;8,16;2,87;0,53;0,71;3,83;10,36;18,96;24,22;20,14;15,56;3,49;2,02;0,18;6,03;7,3;12,25;16,38;22,42;19,06;9,27;4,85;2,44;0
12;Paraíba;Privada;Urbana;753,57;241,44;280,92;304,45;;304,45;1,75;3,3;3,63;19,57;14,99;25,06;20,67;8,14;2,88;0,53;0,7;3,79;10,36;18,96;24,21;20,18;15,57;3,5;2,02;0,19;6,03;7,28;12,22;16,33;22,45;19,08;9,28;4,87;2,45;0
12;Paraíba;Pública;Rural;715,74;189,77;232,27;241,08;277,37;249,7;11,07;15,24;12,07;12,27;23,3;13,09;9,12;3,83;0;4,09;15,12;22,84;20,99;15,83;11,12;5,75;3,05;0,87;0,33;0;26,11;17,99;20,44;17,54;10,46;5,54;1,46;0,37;0,08;0
12;Paraíba;Pública;Total;745,07;196;238,25;252,3;278,36;258,31;4,63;6,97;12,04;10,68;19,11;15,02;11,5;15,32;4,73;3;11,68;20,2;21,75;18,57;12,94;7,19;3,23;1,1;0,33;0,01;21,78;17,39;19,96;18,59;13,71;6,27;1,7;0,48;0,12;0
12;Paraíba;Pública;Urbana;749,9;197,28;239,06;252,81;278,41;258,71;3,57;5,61;12,04;10,41;18,42;15,33;11,89;17,21;5,51;2,78;10,97;19,65;21,91;19,13;13,31;7,48;3,27;1,15;0,32;0,01;21,2;17,31;19,9;18,74;14,15;6,36;1,73;0,49;0,13;0
12;Paraíba;Total;Rural;716;189,88;232,37;241,08;277,37;249,7;10,98;15,12;12;12,39;23,32;13,18;9,1;3,9;0;4,08;15,07;22,82;20,94;15,85;11,18;5,76;3,09;0,87;0,33;0;26,02;17,97;20,45;17,62;10,45;5,56;1,47;0,37;0,08;0
12;Paraíba;Total;Total;747,1;205,08;245,02;260,88;278,36;264,38;3,94;6,09;10,03;12,82;18,13;17,42;13,68;13,6;4,29;2,51;9,49;16,92;19,47;18,64;15,2;9,78;5,7;1,58;0,66;0,05;19,28;15,79;18,74;18,24;15,09;8,3;2,9;1,17;0,49;0
12;Paraíba;Total;Urbana;750,88;207,49;246,43;261,63;278,41;264,97;3,09;4,99;9,79;12,87;17,5;17,94;14,24;14,78;4,81;2,26;8,6;15,99;19,24;19,09;15,83;10,42;6,11;1,69;0,72;0,05;18,53;15,54;18,55;18,31;15,61;8,6;3,06;1,26;0,54;0
13;Pernambuco;Privada;Rural;756,23;211,87;249,47;;;;0;9,09;9,09;9,09;9,09;36,36;0;9,09;18,18;0;0;18,18;27,27;18,18;18,18;18,18;0;0;0;0;8,47;15,25;30,51;11,86;27,12;5,08;1,69;0;0;0
13;Pernambuco;Privada;Total;768,63;226,01;279,78;312,87;;312,87;0;0,11;0,27;8,96;23,03;25,33;23,76;13,46;5,07;0,81;1,72;9,05;15,93;23,44;21,04;14,56;8,76;3,54;0,95;0,22;4,38;7,28;14,25;19,15;21,5;18,17;8,77;4,88;1,62;0
13;Pernambuco;Privada;Urbana;768,78;226,2;280,14;312,87;;312,87;0;0;0,16;8,96;23,2;25,19;24,06;13,52;4,91;0,82;1,74;8,92;15,78;23,51;21,08;14,51;8,88;3,59;0,96;0,22;4,33;7,19;14,05;19,24;21,43;18,33;8,86;4,93;1,64;0
13;Pernambuco;Pública;Rural;775,36;198,4;243,64;268,33;292,56;270,9;1,04;3,12;2,85;14,28;10,39;10,65;23,9;15,33;18,44;3,17;12,07;18,95;21;17,69;12,71;7,96;3,98;1,71;0,74;0,02;20,52;15,93;18,57;18,23;13,85;7,83;3,27;1,26;0,54;0
13;Pernambuco;Pública;Total;741,5;199,66;246,21;270,81;315,4;275,06;4,03;6,68;13,65;15,18;13,28;16,31;18,65;7,47;4,74;2,83;10,43;18,44;21,59;19,08;13,77;8,13;3,81;1,44;0,48;0,01;18,18;15,64;18,87;18,69;15,36;8,54;3,18;1,14;0,38;0
13;Pernambuco;Pública;Urbana;733,61;199,98;246,74;270,98;317,18;275,35;4,72;7,51;16,16;15,39;13,96;17,63;17,43;5,64;1,55;2,74;10,01;18,31;21,73;19,44;14,04;8,17;3,76;1,37;0,42;0;17,7;15,59;18,94;18,78;15,68;8,69;3,16;1,12;0,35;0
13;Pernambuco;Total;Rural;774,85;198,68;243,72;268,33;292,56;270,9;1,01;3,27;3,02;14,15;10,35;11,32;23,28;15,16;18,44;3,1;11,82;18,93;21,13;17,7;12,82;8,18;3,9;1,67;0,72;0,02;20,36;15,92;18,73;18,14;14,03;7,8;3,25;1,24;0,54;0
13;Pernambuco;Total;Total;749,35;206,05;251,89;275,64;315,4;279,03;2,86;4,78;9,78;13,38;16,1;18,92;20,13;9,2;4,84;2,34;8,32;16,16;20,21;20,14;15,54;9,69;5,01;1,95;0,59;0,06;15,85;14,23;18,09;18,76;16,4;10,17;4,13;1,78;0,59;0
13;Pernambuco;Total;Urbana;745,27;207,43;253,26;276,08;317,18;279,54;3,16;5,02;10,86;13,26;17,02;20,13;19,63;8,25;2,66;2,2;7,66;15,65;20,04;20,59;16,04;9,97;5,22;2;0,57;0,07;15,09;13,95;17,99;18,87;16,8;10,57;4,27;1,87;0,6;0
14;Alagoas;Privada;Rural;755,12;248,55;294,85;;;;0;5,56;5,56;2,78;27,78;27,78;19,44;5,56;5,56;0;0;11,43;8,57;14,29;8,57;20;22,86;5,71;8,57;0;2,86;0;5,71;20;20;31,43;17,14;2,86;0;0
14;Alagoas;Privada;Total;762,8;242,06;277,06;283,92;;283,92;1,02;0,04;5,72;6,38;28,93;20,59;20,27;10;7,06;0;0,68;5,78;9,73;21;21,99;16,48;14,97;5,91;3,47;0;7,4;6,83;12,19;17,74;23,67;17,83;9,57;3,56;1,2;0
14;Alagoas;Privada;Urbana;762,85;242,02;276,96;283,92;;283,92;1,03;0;5,72;6,4;28,94;20,54;20,27;10,03;7,07;0;0,68;5,74;9,73;21,04;22,07;16,46;14,93;5,91;3,44;0;7,42;6,87;12,22;17,72;23,69;17,76;9,53;3,57;1,21;0
14;Alagoas;Pública;Rural;723,69;201,71;241,9;247,08;250,85;247,32;6,06;10,62;8,68;14,98;34,66;18,21;6,17;0,61;0,04;3,52;13,43;18,66;18,15;15,44;12,25;8,51;5,28;2,76;1,93;0,07;24,84;15,47;16,75;15,55;12,95;7,29;3,72;2,36;1,07;0
14;Alagoas;Pública;Total;734,84;204,24;242,56;249,82;279,48;254,93;4,65;11,83;13,71;14,44;21,42;12,22;7,95;3,39;10,39;2,88;11,21;17,58;19,4;16,95;13,49;8,84;5,08;2,77;1,71;0,08;22,49;15,97;17,95;16,86;13,51;7,37;3,26;1,7;0,89;0
14;Alagoas;Pública;Urbana;738,88;205,26;242,74;250,02;280,12;255,41;4,13;12,27;15,54;14,25;16,62;10,05;8,6;4,4;14,15;2,61;10,32;17,14;19,91;17,56;13,99;8,98;5;2,77;1,62;0,09;21,86;16,1;18,27;17,21;13,66;7,39;3,14;1,53;0,84;0
14;Alagoas;Total;Rural;723,89;201,92;242,13;247,08;250,85;247,32;6,02;10,59;8,66;14,9;34,61;18,27;6,25;0,64;0,07;3,51;13,37;18,63;18,11;15,44;12,23;8,56;5,35;2,77;1,96;0,07;24,74;15,4;16,7;15,57;12,98;7,39;3,78;2,36;1,07;0
14;Alagoas;Total;Total;740,41;210,75;247,7;254,78;279,48;258,5;3,92;9,48;12,12;12,84;22,92;13,89;10,41;4,7;9,73;2,38;9,4;15,55;17,74;17,65;14,95;10,16;6,78;3,31;2,01;0,07;20,24;14,61;17,09;16,99;15,02;8,92;4,2;1,98;0,94;0
14;Alagoas;Total;Urbana;744,92;213,53;248,92;255,25;280,12;259,12;3,35;9,17;13,06;12,27;19,72;12,7;11,54;5,82;12,36;2,03;8,15;14,58;17,62;18,35;15,81;10,66;7,23;3,47;2,03;0,07;19,26;14,43;17,17;17,31;15,47;9,26;4,3;1,9;0,91;0
15;Sergipe;Privada;Rural;753,56;224,15;286,75;;;;0;0;6,67;20;16,67;33,33;6,67;13,33;3,33;0;2,38;7,14;16,67;26,19;21,43;11,9;14,29;0;0;0;4;4;8;16;24;36;4;0;4;0
15;Sergipe;Privada;Total;758,11;228,07;276,68;307,28;;307,28;0;1,06;9,02;16,77;21,76;15,37;16,05;10,27;9,69;0,6;1,76;6,74;18,24;21,51;20,6;16,16;9,07;3,96;1,36;0;4,64;8,93;13,33;19,18;23,79;17,56;7,96;3,23;1,38;0
15;Sergipe;Privada;Urbana;758,2;228,13;276,59;307,28;;307,28;0;1,08;9,06;16,71;21,85;15,04;16,23;10,22;9,81;0,61;1,75;6,73;18,27;21,44;20,59;16,22;8,99;4,02;1,38;0;4,65;8,98;13,38;19,21;23,79;17,39;8;3,26;1,36;0
15;Sergipe;Pública;Rural;689,68;181,39;229,15;238,92;301,34;249,62;18,45;15,71;21,85;22,05;16,39;1,14;3,77;0,53;0,11;4,65;18,29;25,97;22,77;14,15;8,27;3,68;1,58;0,5;0,14;0;26,97;19,26;21,25;17,81;9,22;4,3;0,99;0,17;0,03;0
15;Sergipe;Pública;Total;698,97;187,52;234,62;252,25;291,52;253,54;17,89;16,22;17,79;16,63;16,13;8,58;3,55;2,57;0,63;3,76;14,84;23,5;23,42;16,61;9,91;5,09;2,07;0,63;0,16;0;23,18;18,51;21;18,2;12,17;5,42;1,21;0,25;0,06;0
15;Sergipe;Pública;Urbana;701,93;190,05;236,21;253;286,78;253,8;17,72;16,38;16,51;14,91;16,05;10,94;3,48;3,22;0,8;3,39;13,42;22,47;23,69;17,63;10,59;5,67;2,27;0,69;0,17;0,01;22,07;18,29;20,93;18,32;13,02;5,75;1,28;0,28;0,06;0
15;Sergipe;Total;Rural;691,54;181,99;229,73;238,92;301,34;249,62;17,91;15,25;21,4;21,99;16,39;2,08;3,86;0,9;0,21;4,58;18,07;25,71;22,68;14,32;8,46;3,8;1,76;0,5;0,14;0;26,74;19,11;21,12;17,79;9,37;4,61;1,02;0,17;0,07;0
15;Sergipe;Total;Total;715,81;196,55;243,12;260,62;291,52;261,48;12,8;11,9;15,29;16,67;17,73;10,51;7,11;4,76;3,21;3,05;11,93;19,77;22,27;17,7;12,29;7,56;3,63;1,37;0,43;0;19,43;16,57;19,45;18,4;14,52;7,88;2,58;0,85;0,32;0
15;Sergipe;Total;Urbana;721,05;200,9;246,09;261,64;286,78;262,14;11,7;11,18;13,98;15,52;18,02;12,33;7,81;5,6;3,86;2,6;10,09;17,99;22,15;18,72;13,44;8,68;4,18;1,63;0,51;0;17,81;16,01;19,08;18,53;15,66;8,6;2,92;1,01;0,38;0
16;Bahia;Privada;Rural;738,57;200,03;229,77;;269,76;269,76;0;0;8,33;16,67;33,33;33,33;8,33;0;0;0;7,14;14,29;28,57;21,43;21,43;7,14;0;0;0;0;33,33;8,33;25;8,33;8,33;16,67;0;0;0;0
16;Bahia;Privada;Total;751,39;237,14;278,73;309,1;271,74;305,8;3,6;0;3,26;5,51;33,9;31,28;12,6;7,94;1,89;0,58;0,9;6,98;12,57;20,52;19,7;17,07;12,31;6,77;2,62;0;5,01;6,05;15,61;18,28;20,93;18,83;10,53;3,43;1,33;0
16;Bahia;Privada;Urbana;751,56;237,67;279,81;309,1;282,22;308,69;3,65;0;3,2;5,37;33,91;31,25;12,66;8,05;1,92;0,58;0,81;6,87;12,34;20,5;19,67;17,21;12,49;6,87;2,65;0;4,39;6;15,41;18,5;21,21;18,88;10,76;3,5;1,36;0
16;Bahia;Pública;Rural;730,07;183,97;229,26;239,26;257,61;239,63;7;3,98;10,38;16,91;13,43;38,54;6,56;3,21;0;5,38;15,78;24,3;22,84;15,55;9,53;4,33;1,68;0,49;0,12;0;27,34;19,58;20,3;16,56;10,44;4,48;1,01;0,22;0,08;0
16;Bahia;Pública;Total;717,39;192,93;236,02;246;256,6;246,93;7,24;15,03;15,46;19,84;16,29;15,02;5,26;5,85;0;3,64;11,85;20,77;23,29;18,47;12,14;6,27;2,59;0,77;0,2;0,01;22,46;18,3;20,61;18,33;12,76;5,74;1,39;0,3;0,1;0
16;Bahia;Pública;Urbana;713,61;196,34;238,16;246,56;256,59;247,5;7,31;18,33;16,97;20,72;17,14;8,01;4,88;6,64;0;2,98;10,35;19,42;23,47;19,58;13,14;7;2,94;0,88;0,23;0,01;20,92;17,9;20,71;18,9;13,5;6,14;1,51;0,32;0,1;0
16;Bahia;Total;Rural;730,18;184,15;229,27;239,26;267,35;241,9;6,91;3,92;10,35;16,9;13,69;38,47;6,58;3,17;0;5,32;15,68;24,19;22,9;15,62;9,66;4,37;1,66;0,49;0,12;0;27,42;19,43;20,36;16,45;10,41;4,64;0,99;0,21;0,07;0
16;Bahia;Total;Total;723,92;200,84;241,56;250,58;257,7;251,21;6,54;12,15;13,12;17,09;19,67;18,14;6,67;6,25;0,36;3,1;9,89;18,3;21,37;18,84;13,49;8,2;4,33;1,85;0,63;0;20,2;16,71;19,96;18,33;13,82;7,44;2,58;0,7;0,25;0
16;Bahia;Total;Urbana;722,46;205,79;244,86;251,45;256,91;251,93;6,45;14,05;13,76;17,14;21,05;13,43;6,69;6,97;0,45;2,44;8,17;16,55;20,92;19,79;14,63;9,34;5,12;2,25;0,78;0,01;18,26;15,98;19,86;18,83;14,74;8,19;3;0,84;0,3;0
17;Minas Gerais;Privada;Rural;756,27;216,9;250,35;285,42;293,86;292,71;0;0;10,71;14,29;28,57;10,71;17,86;7,14;10,71;0;0;18,18;22,73;13,64;22,73;13,64;9,09;0;0;0;18,38;14,34;13,6;13,6;24,26;9,56;5,15;0;1,1;0
17;Minas Gerais;Privada;Total;772,8;264,15;313,93;340,36;298,95;339,58;0;0,2;4,39;5,47;18,93;18,14;24,22;18,52;10,13;0;1,01;1,62;4,19;10,48;18,42;18,69;27,89;12,54;4,89;0,27;1,19;2,07;4,88;7,86;15,37;26,73;22,02;13,39;6,49;0
17;Minas Gerais;Privada;Urbana;772,82;264,22;314,33;340,49;321,82;340,43;0;0,2;4,38;5,46;18,92;18,14;24,22;18,53;10,13;0;1,01;1,6;4,16;10,47;18,41;18,7;27,92;12,55;4,9;0,27;1,08;1,99;4,83;7,82;15,31;26,83;22,13;13,48;6,52;0
17;Minas Gerais;Pública;Rural;670,42;206,87;245,23;255,19;323,16;272,12;48,45;13,88;7,83;11,63;3,47;5,16;5,13;1,85;2,6;2,43;8,02;15,89;20,27;19,49;15,47;10,92;4,95;2,03;0,53;0;19,28;15,53;18,66;17,26;15,86;9,34;2,98;0,83;0,27;0
17;Minas Gerais;Pública;Total;740,52;216,17;255,77;268,95;327,38;271,54;3,66;8,37;12,19;12,31;21,53;14,08;13,31;9,08;5,47;1,68;5,55;12,15;18,02;20,44;18,62;13,29;6,87;2,57;0,79;0,02;14,28;12,52;16,54;18,97;19,12;12,23;4,53;1,38;0,42;0
17;Minas Gerais;Pública;Urbana;744,21;216,69;256,29;269,22;328,06;271,53;1,31;8,08;12,42;12,35;22,48;14,55;13,74;9,46;5,62;1,63;5,41;11,94;17,9;20,5;18,79;13,42;6,98;2,6;0,81;0,02;14,04;12,37;16,44;19,06;19,28;12,37;4,6;1,41;0,43;0
17;Minas Gerais;Total;Rural;670,66;206,91;245,31;255,64;316,56;273,71;48,31;13,84;7,84;11,64;3,54;5,18;5,17;1,86;2,63;2,42;7,99;15,9;20,28;19,47;15,5;10,93;4,96;2,02;0,53;0;19,26;15,51;18,58;17,2;16;9,35;3,01;0,82;0,28;0
17;Minas Gerais;Total;Total;744,82;222,52;262,09;276,56;326,05;278,62;3,17;7,28;11,15;11,4;21,19;14,62;14,76;10,34;6,09;1,45;4,95;10,76;16,19;19,13;18,59;14,01;9,65;3,88;1,33;0,06;12,86;11,38;15,27;17,77;18,72;13,8;6,43;2,69;1,08;0
17;Minas Gerais;Total;Urbana;748,19;223,27;262,83;276,93;327,99;278,74;1,12;6,98;11,3;11,39;21,99;15,05;15,2;10,72;6,25;1,41;4,8;10,51;16;19,11;18,74;14,15;9,88;3,97;1,37;0,06;12,58;11,2;15,13;17,79;18,84;14;6,58;2,77;1,12;0
18;Espírito Santo;Privada;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Espírito Santo;Privada;Total;762,54;261,2;305,12;321,15;311,87;321,09;1,48;1,79;0,85;10,33;25,53;21,18;22,89;9,21;6,75;0,18;0,84;0,72;6,39;11,78;16,39;24,22;22,83;11,53;4,85;0,27;3,1;3,19;6;10,65;19,37;21,35;19,33;11,8;5,2;0
18;Espírito Santo;Privada;Urbana;762,54;261,2;305,12;321,15;311,87;321,09;1,48;1,79;0,85;10,33;25,53;21,18;22,89;9,21;6,75;0,18;0,84;0,72;6,39;11,78;16,39;24,22;22,83;11,53;4,85;0,27;3,1;3,19;6;10,65;19,37;21,35;19,33;11,8;5,2;0
18;Espírito Santo;Pública;Rural;741,79;217,91;261,48;293,56;326,93;308,27;3,34;1,84;7,75;13,63;22,34;37,12;9,66;0,27;4,05;1,11;4,62;11,65;19,48;20,95;18,44;12,47;7,3;3,16;0,78;0,03;10,28;11,14;16,55;20,47;21,39;12,95;5,62;1,33;0,27;0
18;Espírito Santo;Pública;Total;751,66;217,52;254,2;278,36;311,68;284,14;3,39;7,45;7,79;13,03;15,79;17,17;12;13,89;9,48;1,08;4,65;11,76;18,88;21,18;18,67;13,49;6,93;2,64;0,69;0,02;14,72;12,76;17,07;19,41;18,6;11,43;4,46;1,19;0,36;0
18;Espírito Santo;Pública;Urbana;752,41;217,48;253,58;277,95;309,98;283,15;3,4;7,87;7,79;12,99;15,3;15,67;12,18;14,92;9,89;1,08;4,66;11,77;18,82;21,2;18,69;13,59;6,89;2,6;0,69;0,02;15,1;12,9;17,11;19,32;18,36;11,3;4,36;1,18;0,36;0
18;Espírito Santo;Total;Rural;741,79;217,91;261,48;293,56;326,93;308,27;3,34;1,84;7,75;13,63;22,34;37,12;9,66;0,27;4,05;1,11;4,62;11,65;19,48;20,95;18,44;12,47;7,3;3,16;0,78;0,03;10,28;11,14;16,55;20,47;21,39;12,95;5,62;1,33;0,27;0
18;Espírito Santo;Total;Total;753,14;223,23;260,03;283,85;311,68;288,17;3,13;6,68;6,84;12,66;17,11;17,72;13,48;13,25;9,11;0,96;4,15;10,32;17,25;19,95;18,37;14,9;9,01;3,81;1,24;0,05;13,39;11,66;15,8;18,41;18,69;12,56;6,16;2,41;0,91;0
18;Espírito Santo;Total;Urbana;753,87;223,64;259,92;283,61;309,99;287,43;3,12;6,99;6,79;12,6;16,78;16,46;13,73;14,09;9,44;0,95;4,12;10,21;17,07;19,87;18,37;15,08;9,14;3,85;1,27;0,06;13,62;11,7;15,74;18,26;18,49;12,53;6,2;2,49;0,96;0
