CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_2_MT;MEDIA_5_MT;MEDIA_9_MT;MEDIA_12_MT;MEDIA_13_MT;MEDIA_14_MT;nivel_0_MT2;nivel_1_MT2;nivel_2_MT2;nivel_3_MT2;nivel_4_MT2;nivel_5_MT2;nivel_6_MT2;nivel_7_MT2;nivel_8_MT2;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9
19;Rio de Janeiro;Privada;Rural;824,82;225,36;281,17;307,85;;307,85;0;0;0;0;6,67;0;20;6,67;66,67;0;0;7,69;23,08;15,38;15,38;30,77;7,69;0;0;0;2,01;9,36;16,05;13,71;20,4;24,08;11,37;3,01;0;0
19;Rio de Janeiro;Privada;Total;769,83;243,81;275,6;306,7;294,99;306,37;0;0;0;4,06;30,27;25,55;18,94;14,69;6,48;0;0,79;6,67;10,94;18,8;15,93;20,37;13,79;10,03;2,68;0;7,04;7,36;14,02;16,18;21,8;19,17;10,75;3,08;0,61;0
19;Rio de Janeiro;Privada;Urbana;769,25;243,99;275,56;306,7;294,99;306,36;0;0;0;4,1;30,52;25,82;18,93;14,77;5,85;0;0,8;6,66;10,82;18,83;15,94;20,26;13,85;10,13;2,71;0;7,08;7,35;14;16,19;21,81;19,13;10,74;3,08;0,62;0
19;Rio de Janeiro;Pública;Rural;731,43;203,68;243,48;257,64;273,87;260,29;5,71;13,84;18,12;10,71;13,12;10,27;7,41;20,81;0;2,19;7,53;16,2;22,56;21,55;16,18;8,49;3,74;1,16;0,38;0,02;16,9;16,7;21,22;20,64;14,9;7,17;1,97;0,34;0,16;0
19;Rio de Janeiro;Pública;Total;737,75;205,24;246,81;256,65;291,6;260,79;3,16;9,56;11,01;11,68;23,27;17,8;10,79;11,51;1,24;2,52;7,65;15,33;21,14;21,42;16,29;9,56;4,31;1,38;0,39;0,01;16,39;15,58;19,82;19,93;16,31;8,33;2,59;0,76;0,27;0
19;Rio de Janeiro;Pública;Urbana;738,26;205,36;247,01;256,62;292,58;260,81;2,96;9,22;10,44;11,75;24,07;18,4;11,06;10,77;1,33;2,54;7,66;15,26;21,04;21,41;16,29;9,64;4,35;1,4;0,39;0,01;16,36;15,52;19,74;19,88;16,4;8,41;2,63;0,79;0,28;0
19;Rio de Janeiro;Total;Rural;736,67;204,78;245,16;259,99;273,87;262,17;5,39;13,06;17,1;10,11;12,76;9,69;8,12;20,02;3,75;2,08;7,15;15,77;22,59;21,23;16,14;9,62;3,94;1,1;0,36;0,02;16,24;16,37;20,99;20,34;15,15;7,92;2,39;0,46;0,15;0
19;Rio de Janeiro;Total;Total;747,26;215,97;254,7;268,03;291,81;270,39;2,22;6,73;7,74;9,42;25,34;20,1;13,21;12,45;2,79;1,82;5,75;12,92;18,31;20,69;16,19;12,57;6,95;3,79;1,03;0;13,83;13,33;18,23;18,9;17,82;11,3;4,83;1,4;0,36;0
19;Rio de Janeiro;Total;Urbana;747,87;216,61;255,14;268,27;292,73;270,66;2,04;6,36;7,2;9,38;26,07;20,7;13,5;12,01;2,74;1,8;5,67;12,76;18,06;20,66;16,19;12,73;7,12;3,94;1,07;0;13,72;13,19;18,11;18,83;17,94;11,46;4,94;1,44;0,37;0
20;São Paulo;Privada;Rural;779,92;255,95;285,41;345,74;312,85;343,26;0;0,78;0,97;6,41;17,88;23,01;12,11;21,76;17,08;0,62;0,62;0,62;10,79;10,09;19,42;28,7;12,41;11,4;5,34;0;2,64;6,31;7,74;22,14;25,39;20,74;8,75;4,91;1,39;0
20;São Paulo;Privada;Total;787,02;263,4;298,96;332,15;314,96;331,86;2,8;0,28;2,3;4,55;8,93;19,75;20,14;15,62;25,64;0,96;0;1,26;4,39;11,03;18,27;21,32;24,21;13,45;5,11;0;3,44;4,55;5,85;11,99;20,98;22,89;17,26;8,33;4,71;0
20;São Paulo;Privada;Urbana;787,07;263,45;299,03;332,07;315,02;331,79;2,81;0,27;2,3;4,54;8,87;19,73;20,19;15,57;25,7;0,96;0;1,26;4,35;11,03;18,26;21,27;24,29;13,47;5,11;0;3,44;4,54;5,84;11,93;20,95;22,91;17,31;8,35;4,73;0
20;São Paulo;Pública;Rural;736,23;223,92;261,06;272,75;283,02;275,57;7,45;6,72;5,99;12,87;30,34;25,49;2,67;1,58;6,89;1,2;4,82;9,8;16,18;19,37;19,04;14,45;9,05;4,59;1,45;0,05;11,48;11,73;15,81;19,06;20,34;14,15;5,49;1,54;0,4;0
20;São Paulo;Pública;Total;739,56;224,28;259,72;269,21;321,26;272,8;2,68;8,26;9,56;19,18;18,7;19,26;13,17;5,56;3,62;1,3;4,37;9,68;15,79;19,68;19,46;15,14;9,16;4,02;1,36;0,04;12,23;11,76;16,02;19,26;20,01;13,55;5,23;1,5;0,44;0
20;São Paulo;Pública;Urbana;739,62;224,29;259,7;269,17;323,56;272,76;2,6;8,29;9,63;19,3;18,49;19,15;13,36;5,63;3,56;1,3;4,36;9,68;15,79;19,69;19,47;15,15;9,16;4,01;1,36;0,04;12,24;11,76;16,02;19,27;20,01;13,54;5,23;1,5;0,44;0
20;São Paulo;Total;Rural;739,92;226,48;262,84;279,84;283,7;280,84;6,82;6,22;5,57;12,32;29,29;25,28;3,47;3,29;7,76;1,15;4,48;9,06;15,75;18,63;19,07;15,59;9,32;5,13;1,76;0,04;10,84;11,33;15,22;19,29;20,71;14,63;5,73;1,79;0,47;0
20;São Paulo;Total;Total;748,91;231,89;267,1;280,12;320,97;282,59;2,71;6,69;8,13;16,3;16,78;19,36;14,54;7,54;7,96;1,23;3,52;8,04;13,58;18;19,23;16,34;12,08;5,85;2,09;0,03;10,58;10,4;14,11;17,89;20,19;15,31;7,49;2,78;1,24;0
20;São Paulo;Total;Urbana;749,05;231,98;267,16;280,12;323,16;282,61;2,64;6,69;8,17;16,36;16,57;19,26;14,72;7,61;7,97;1,23;3,5;8,03;13,54;17,99;19,24;16,35;12,13;5,87;2,09;0,03;10,57;10,39;14,09;17,87;20,19;15,32;7,52;2,8;1,25;0
21;Paraná;Privada;Rural;775,04;282,88;313,2;309,56;;309,56;2,33;0;2,33;6,98;13,95;27,91;18,6;9,3;18,6;0;0;0;3,57;0;10,71;25;32,14;21,43;7,14;0;0;0;6,9;13,79;17,24;24,14;17,24;17,24;3,45;0
21;Paraná;Privada;Total;772,79;256,49;303,3;330,29;;330,29;2,58;0,53;0,54;6,86;14,29;30,19;14,72;21,78;8,51;0,27;0,31;4,07;6,52;12,1;21,13;21,54;13,93;13,72;6,42;0;2,49;2,47;5,69;11,53;21,41;26,92;15,7;9,58;4,2;0
21;Paraná;Privada;Urbana;772,78;256,46;303,27;330,49;;330,49;2,58;0,53;0,53;6,86;14,29;30,19;14,72;21,8;8,48;0,27;0,31;4,08;6,53;12,11;21,14;21,53;13,91;13,7;6,42;0;2,5;2,48;5,69;11,53;21,43;26,93;15,69;9,55;4,2;0
21;Paraná;Pública;Rural;741,72;217,47;259,5;273,45;299,95;277,7;1,73;8,34;17,29;9,28;13,93;19,74;19,51;6,55;3,63;0,91;4,6;11,86;19,72;20,54;19,33;12,4;7,09;2,66;0,84;0,06;11,1;12,1;18,2;19,74;18,9;12,31;5,58;1,61;0,47;0
21;Paraná;Pública;Total;739,14;226,7;261,58;276,99;297,07;279,95;2,87;8,63;10,05;17,21;16,98;18,94;16,96;5;3,36;0,66;3,15;8,92;16,08;20,64;20,38;15,42;9,19;4,13;1,39;0,04;10,67;11,61;16,51;19,8;20,43;13,36;5,4;1,69;0,52;0
21;Paraná;Pública;Urbana;739;227,22;261,7;277,17;296,91;280,06;2,93;8,65;9,65;17,64;17,15;18,9;16,81;4,92;3,34;0,65;3,06;8,75;15,87;20,65;20,44;15,59;9,31;4,21;1,42;0,04;10,65;11,59;16,42;19,81;20,52;13,42;5,39;1,69;0,52;0
21;Paraná;Total;Rural;741,93;217,75;260,08;275,03;299,95;278,88;1,73;8,29;17,19;9,27;13,93;19,79;19,5;6,56;3,72;0,91;4,58;11,81;19,65;20,45;19,29;12,45;7,2;2,74;0,86;0,06;10,98;11,97;18,08;19,68;18,88;12,44;5,7;1,77;0,5;0
21;Paraná;Total;Total;743,72;230,85;267,13;286,81;297,07;288,08;2,83;7,53;8,75;15,8;16,62;20,47;16,65;7,28;4,06;0,61;2,75;8,24;14,74;19,45;20,49;16,27;9,85;5,47;2,09;0,04;9,58;10,4;15,07;18,7;20,56;15,17;6,77;2,74;1,01;0
21;Paraná;Total;Urbana;743,8;231,49;267,49;287,32;296,91;288,49;2,88;7,5;8,35;16,11;16,74;20,5;16,52;7,32;4,07;0,59;2,66;8,07;14,51;19,4;20,54;16,46;9,98;5,6;2,15;0,03;9,51;10,32;14,92;18,65;20,64;15,3;6,82;2,79;1,03;0
22;Santa Catarina;Privada;Rural;777,11;258,55;;;;;0;0;3,03;9,09;12,12;21,21;21,21;21,21;12,12;0;0;4,35;0;13,04;26,09;21,74;21,74;13,04;0;0;;;;;;;;;;
22;Santa Catarina;Privada;Total;792,77;270,65;312,21;331,85;329,75;331,85;0;0;0,01;5,23;8;22,81;13,76;32,06;18,12;0;0,78;0,94;3,04;9,67;15,13;24,59;20,37;14,57;10,91;0;1,72;2,18;4,94;9,72;15,82;23,95;20,83;14,41;6,43;0
22;Santa Catarina;Privada;Urbana;792,84;270,69;312,21;331,85;329,75;331,85;0;0;0;5,22;7,98;22,81;13,73;32,11;18,15;0;0,79;0,93;3,05;9,66;15,09;24,6;20,36;14,57;10,96;0;1,72;2,18;4,94;9,72;15,82;23,95;20,83;14,41;6,43;0
22;Santa Catarina;Pública;Rural;758,44;226,56;262,85;278,1;322,28;287,8;0,65;0,27;7,51;11,94;17,65;25,3;21,6;11,52;3,57;0,76;3,49;9,2;15,43;19,91;20,85;15,88;9,09;3,86;1,48;0,04;9,89;10,23;16,63;21,15;20,99;13,82;5,58;1,41;0,3;0
22;Santa Catarina;Pública;Total;756,76;228,78;264,87;278,88;317,54;282,54;1,65;3,47;6,13;17;14,7;21,51;16,26;11,35;7,93;0,63;3,05;8,24;14,97;19,94;20,84;16,71;10;4,17;1,4;0,05;8,91;10,32;16,01;20,28;22,05;14,97;5,55;1,56;0,35;0
22;Santa Catarina;Pública;Urbana;756,61;228,96;265;278,9;317,2;282,38;1,73;3,76;6;17,45;14,43;21,17;15,79;11,34;8,32;0,62;3,01;8,16;14,93;19,94;20,84;16,77;10,07;4,2;1,4;0,05;8,85;10,32;15,97;20,22;22,12;15,04;5,55;1,57;0,35;0
22;Santa Catarina;Total;Rural;758,62;226,81;262,85;278,1;322,28;287,8;0,64;0,26;7,46;11,91;17,6;25,27;21,59;11,61;3,65;0,76;3,46;9,17;15,31;19,86;20,89;15,92;9,19;3,93;1,47;0,04;9,89;10,23;16,63;21,15;20,99;13,82;5,58;1,41;0,3;0
22;Santa Catarina;Total;Total;762,02;234,58;270,46;286,53;317,59;289,08;1,41;2,97;5,23;15,28;13,72;21,7;15,9;14,38;9,42;0,55;2,74;7,23;13,32;18,52;20,05;17,8;11,43;5,61;2,72;0,04;8,06;9,36;14,7;19,03;21,31;16,03;7,36;3,08;1,07;0
22;Santa Catarina;Total;Urbana;762,28;235,13;270,89;286,71;317,25;289,12;1,46;3,17;5,06;15,54;13,42;21,43;15,46;14,59;9,86;0,53;2,69;7,09;13,18;18,42;19,99;17,93;11,59;5,73;2,81;0,04;7,96;9,31;14,59;18,91;21,33;16,16;7,46;3,18;1,11;0
23;Rio Grande do Sul;Privada;Rural;782,13;251,31;;295,24;;295,24;0;0;3,85;0;19,23;19,23;19,23;23,08;15,38;0;0;8,33;0;8,33;25;33,33;16,67;8,33;0;0;;;;;;;;;;
23;Rio Grande do Sul;Privada;Total;780,38;258,91;301,84;323,01;308,15;322,97;0;1,59;2,55;6,54;9,68;26,52;20,79;19,14;13,2;0;0,3;1,96;6,2;11,59;18,72;23,94;23,14;11,3;2,85;0;2,69;2,7;6,4;13,02;20,71;22,76;19,72;7,96;4,04;0
23;Rio Grande do Sul;Privada;Urbana;780,38;258,91;301,84;323,26;308,15;323,21;0;1,59;2,55;6,54;9,66;26,53;20,8;19,13;13,2;0;0,3;1,95;6,2;11,59;18,72;23,94;23,15;11,31;2,85;0;2,69;2,7;6,4;13,02;20,71;22,76;19,72;7,96;4,04;0
23;Rio Grande do Sul;Pública;Rural;725,05;216,39;256,53;267,69;280,31;273,72;3,69;13,31;11,88;17,31;26,19;18,43;4,87;0,81;3,51;1,34;5,05;12,44;18,54;20,57;18,8;13,26;6,6;2,58;0,82;0;11,75;12,87;17,29;20,96;20,41;11,86;3,61;0,97;0,27;0
23;Rio Grande do Sul;Pública;Total;734,65;216,78;257,54;273,55;307,29;277,8;4,53;5,84;11,42;17,47;23,53;17,65;9,12;7,62;2,83;1,55;5,06;11,9;18,14;20,65;19,03;13,49;7,03;2,48;0,65;0,01;11,61;12,13;17,34;21,33;20,5;11,59;4,05;1,14;0,32;0
23;Rio Grande do Sul;Pública;Urbana;735,39;216,81;257,62;273,69;312,03;277,97;4,59;5,26;11,38;17,48;23,33;17,59;9,45;8,14;2,78;1,57;5,06;11,86;18,11;20,66;19,05;13,5;7,06;2,47;0,64;0,02;11,6;12,07;17,35;21,36;20,51;11,57;4,09;1,15;0,32;0
23;Rio Grande do Sul;Total;Rural;725,27;216,44;256,53;269,37;280,31;274,43;3,68;13,26;11,85;17,24;26,16;18,43;4,93;0,89;3,55;1,33;5,04;12,43;18,52;20,55;18,81;13,29;6,61;2,59;0,82;0;11,75;12,87;17,29;20,96;20,41;11,86;3,61;0,97;0,27;0
23;Rio Grande do Sul;Total;Total;741,78;222,63;263;280,99;307,29;283,87;3,82;5,18;10,03;15,76;21,38;19,03;10,94;9,41;4,44;1,33;4,4;10,52;16,48;19,4;18,99;14,94;9,27;3,7;0,96;0,01;10,51;10,96;15,99;20,3;20,52;12,97;5,98;1,98;0,78;0
23;Rio Grande do Sul;Total;Urbana;742,85;223,05;263,47;281,24;312,01;284,21;3,83;4,65;9,92;15,67;21,07;19,07;11,33;9,96;4,5;1,33;4,35;10,39;16,35;19,32;19;15,05;9,45;3,78;0,97;0,01;10,42;10,83;15,9;20,26;20,53;13,05;6,15;2,05;0,82;0
24;Mato Grosso do Sul;Privada;Rural;764,16;215,48;;263,4;264,2;263,52;0;0;0;5,26;31,58;26,32;26,32;10,53;0;0;6,9;13,79;13,79;24,14;20,69;17,24;3,45;0;0;0;;;;;;;;;;
24;Mato Grosso do Sul;Privada;Total;774,47;251,61;304,31;326,98;264,2;326,62;0,18;0,53;2,06;12,97;14,82;18,26;22,64;10,51;18,03;0,14;1,35;3,23;7,19;15,37;21,71;20,1;17,98;8,55;4,26;0,12;2,74;4,04;5,66;9,81;19,94;24,08;18,15;10,38;5,19;0
24;Mato Grosso do Sul;Privada;Urbana;774,54;252,03;304,31;329,05;;329,05;0,18;0,54;2,08;13,02;14,7;18,2;22,61;10,51;18,16;0,14;1,28;3,11;7,12;15,27;21,72;20,13;18,15;8,65;4,31;0,12;2,74;4,04;5,66;9,81;19,94;24,08;18,15;10,38;5,19;0
24;Mato Grosso do Sul;Pública;Rural;738,48;184,7;229,85;245,49;306,56;257,31;3,92;8,84;11,36;20,4;15,53;11,21;15,26;7,89;5,59;5,04;16,23;23,26;22,74;15,76;9,53;5,26;1,49;0,59;0,11;0;28,72;18,03;20,27;15,1;11,31;4,83;1,49;0,24;0;0
24;Mato Grosso do Sul;Pública;Total;738,1;203,48;250,89;265,91;280,14;267,1;3,34;5,25;13,32;10,24;30,29;19,47;11,09;2,89;4,11;2,03;7,17;16,7;23,03;21,57;15,44;8,92;3,81;1,13;0,18;0,01;14,47;14,46;19,13;20,25;17,99;9,26;3,3;0,85;0,29;0
24;Mato Grosso do Sul;Pública;Urbana;738,07;205,25;252,74;267,46;274,11;267,95;3,28;4,88;13,52;9,2;31,81;20,32;10,66;2,38;3,95;1,75;6,32;16,08;23,06;22,12;15,99;9,27;4,03;1,18;0,19;0,01;13,22;14,15;19,03;20,7;18,58;9,65;3,46;0,9;0,32;0
24;Mato Grosso do Sul;Total;Rural;738,76;185,23;229,85;246,41;304,9;257,61;3,88;8,74;11,24;20,24;15,7;11,38;15,38;7,92;5,53;4,95;16,07;23,1;22,59;15,9;9,72;5,46;1,52;0,58;0,11;0;28,72;18,03;20,27;15,1;11,31;4,83;1,49;0,24;0;0
24;Mato Grosso do Sul;Total;Total;742,73;209,01;256,21;272,48;280,02;273,05;2,94;4,65;11,89;10,59;28,32;19,32;12,56;3,86;5,88;1,82;6,5;15,15;21,21;20,86;16,16;10,21;5,44;1,99;0,65;0,02;13,3;13,42;17,79;19,21;18,18;10,74;4,78;1,8;0,78;0
24;Mato Grosso do Sul;Total;Urbana;743,09;211,02;258,28;274,33;274,11;274,32;2,85;4,28;11,95;9,72;29,45;20,03;12,31;3,5;5,91;1,55;5,7;14,48;21,1;21,27;16,7;10,61;5,77;2,1;0,7;0,02;12,09;13,06;17,59;19,53;18,72;11,2;5,04;1,92;0,84;0
25;Mato Grosso;Privada;Rural;;271,95;;;;;;;;;;;;;;0;0;0;0;0;11,11;55,56;33,33;0;0;0;;;;;;;;;;
25;Mato Grosso;Privada;Total;771,6;254,45;292,48;313,69;;313,69;0;2,48;10,22;6,73;11,96;17,65;19,46;15,35;16,15;0,09;0,52;2,18;8,96;12,03;19,62;23,25;21,22;7,64;4,1;0,4;4,46;3,99;7,7;14,76;20,95;23,18;15,29;7,18;2,49;0
25;Mato Grosso;Privada;Urbana;771,6;254,42;292,48;313,69;;313,69;0;2,48;10,22;6,73;11,96;17,65;19,46;15,35;16,15;0,09;0,52;2,18;8,98;12,06;19,63;23,19;21,19;7,65;4,11;0,4;4,46;3,99;7,7;14,76;20,95;23,18;15,29;7,18;2,49;0
25;Mato Grosso;Pública;Rural;726,51;196,8;237,4;250,11;297,08;258,43;12,63;8,23;13,41;12,88;19,84;14,85;2,94;3,17;12,06;3,22;10,84;19,73;21,88;18,93;13,46;7,44;3,19;1,16;0,15;0;23,42;16,39;19,34;18,58;13,51;6,35;1,91;0,47;0,03;0
25;Mato Grosso;Pública;Total;716,36;206,6;245,37;257,89;319,83;261,87;8,72;14,69;15,48;21,69;14;10,36;7,11;5,15;2,8;2,55;7,76;15,36;20,26;20,43;16,19;10,41;4,89;1,66;0,46;0,01;18,64;14,97;18,64;18,89;16,39;8,86;2,75;0,69;0,17;0
25;Mato Grosso;Pública;Urbana;715,4;207,58;246,17;258,59;327,71;262,23;8,35;15,31;15,67;22,52;13,45;9,94;7,51;5,33;1,93;2,48;7,45;14,93;20,1;20,58;16,47;10,71;5,06;1,71;0,49;0,01;18,16;14,83;18,58;18,92;16,68;9,11;2,83;0,71;0,18;0
25;Mato Grosso;Total;Rural;726,51;197,03;237,4;250,11;297,08;258,43;12,63;8,23;13,41;12,88;19,84;14,85;2,94;3,17;12,06;3,21;10,81;19,67;21,81;18,88;13,46;7,59;3,28;1,16;0,15;0;23,42;16,39;19,34;18,58;13,51;6,35;1,91;0,47;0,03;0
25;Mato Grosso;Total;Total;722,72;212,53;250,31;262,75;319,83;266,12;7,72;13,29;14,87;19,96;13,77;11,2;8,54;6,32;4,34;2,25;6,86;13,73;18,86;19,39;16,62;12,01;6,92;2,4;0,91;0,06;17,16;13,82;17,5;18,46;16,87;10,36;4,06;1,37;0,41;0
25;Mato Grosso;Total;Urbana;722,41;213,88;251,45;263,77;327,71;266,84;7,31;13,7;14,99;20,55;13,27;10,9;9;6,58;3,7;2,16;6,52;13,21;18,6;19,44;16,89;12,39;7,23;2,51;0,98;0,06;16,6;13,59;17,34;18,45;17,16;10,72;4,25;1,45;0,44;0
26;Goiás;Privada;Rural;763,7;203,16;239,69;286,84;267,86;282,62;0;4,17;4,17;4,17;25;25;12,5;16,67;8,33;0;8;20;24;20;12;12;0;0;4;0;20;25;20;5;5;20;5;0;0;0
26;Goiás;Privada;Total;761,62;246,17;291,58;315,27;284,99;314,65;0;3,16;4,18;11,15;22,4;26,7;9,29;13,13;9,99;1,18;1,56;4,75;7,73;15,47;19,34;24,37;15,71;7,3;2,59;0;4,49;4,94;8,59;14,78;20,75;22,94;13,57;6,15;3,79;0
26;Goiás;Privada;Urbana;761,61;246,38;292,05;315,8;290,66;315,4;0;3,15;4,18;11,18;22,39;26,7;9,28;13,12;10;1,19;1,53;4,67;7,66;15,45;19,37;24,43;15,78;7,33;2,58;0;4,35;4,76;8,48;14,87;20,89;22,97;13,65;6,2;3,82;0
26;Goiás;Pública;Rural;755,26;202,27;248,19;265,43;341,03;279,68;6,88;6,79;10,78;13,58;8,64;5,7;10,64;14,19;22,8;2,05;9,79;18,71;20,91;18,99;14,27;8,65;4,19;1,61;0,83;0;16,25;15,63;17,77;21,39;15,14;9,22;3,18;1,16;0,26;0
26;Goiás;Pública;Total;735,13;214,02;256,83;271,6;302,38;272,68;4,99;8,36;12,73;16,46;17,21;19,34;11,25;6,78;2,87;1,37;5,79;13,11;19,61;21,02;17,44;11,96;6,41;2,44;0,83;0,01;12,94;13,18;17,34;19,48;18,28;11,71;4,87;1,66;0,53;0
26;Goiás;Pública;Urbana;734,49;214,47;257,13;271,69;298,24;272,55;4,93;8,41;12,79;16,56;17,49;19,77;11,27;6,55;2,24;1,34;5,64;12,9;19,56;21,1;17,56;12,09;6,49;2,47;0,83;0,01;12,83;13,1;17,33;19,41;18,39;11,8;4,93;1,68;0,54;0
26;Goiás;Total;Rural;755,48;202,29;247,83;268,55;328,35;280,12;6,7;6,72;10,61;13,34;9,06;6,2;10,69;14,25;22,42;2;9,74;18,74;20,99;19,02;14,21;8,73;4,09;1,57;0,91;0;16,42;16,03;17,86;20,68;14,71;9,68;3,26;1,11;0,25;0
26;Goiás;Total;Total;740,09;219,37;261,79;276,98;301,07;277,79;4,05;7,38;11,13;15,47;18,19;20,72;10,89;7,97;4,2;1,34;5,09;11,72;17,64;20,1;17,76;14,03;7,95;3,25;1,12;0,01;11,73;12,01;16,09;18,81;18,64;13,32;6,11;2,3;0,99;0
26;Goiás;Total;Urbana;739,68;219,92;262,22;277,12;297,76;277,74;3,98;7,4;11,14;15,53;18,43;21,1;10,89;7,81;3,72;1,32;4,94;11,49;17,53;20,13;17,87;14,2;8,08;3,3;1,13;0,01;11,59;11,88;16,04;18,75;18,76;13,43;6,2;2,34;1,02;0
27;Distrito Federal;Privada;Rural;;262,7;271,84;302,04;;302,04;;;;;;;;;;0;0;0;0;18,18;18,18;27,27;27,27;9,09;0;0;0;18,18;14,77;19,32;18,18;18,18;7,95;3,41;0;0
27;Distrito Federal;Privada;Total;784,5;270,86;302,92;332,71;307,69;332,31;1,15;0;0,71;5,51;11,44;20,01;22,98;24,25;13,94;0;0;1,51;3,8;7,52;16,1;21,97;24,57;16,18;8,35;0;4,12;3,87;6,28;10,68;19,27;20,98;17,43;10,29;7,08;0
27;Distrito Federal;Privada;Urbana;784,5;270,87;303,48;333,11;307,69;332,71;1,15;0;0,71;5,51;11,44;20,01;22,98;24,25;13,94;0;0;1,52;3,8;7,5;16,1;21,96;24,56;16,19;8,36;0;4,19;3,61;6,13;10,52;19,29;21,03;17,6;10,42;7,21;0
27;Distrito Federal;Pública;Rural;720,86;215,95;250,97;268,67;;268,67;3,53;4,07;15,75;36,15;23,94;8,14;7,61;0,54;0,27;1,05;5,3;11,33;18,95;21,74;18,93;14,66;5,49;2,02;0,53;0;14,79;14,7;17,84;19,5;19,08;10,26;3,52;0,32;0;0
27;Distrito Federal;Pública;Total;728,03;224,57;255,13;273,18;309,52;274,52;3,58;6,35;13,93;24,14;20,28;16,56;9,67;5,22;0,27;0,91;3,2;8,54;15,99;21,29;22,01;16,24;8,07;3,02;0,7;0,03;12,78;13,33;17,68;20,29;19,81;10,93;3,6;1,16;0,41;0
27;Distrito Federal;Pública;Urbana;728,5;225,21;255,36;273,3;309,52;274,66;3,58;6,5;13,81;23,35;20,04;17,12;9,81;5,53;0,27;0,9;3,05;8,33;15,77;21,26;22,24;16,36;8,26;3,1;0,71;0,03;12,67;13,25;17,68;20,34;19,85;10,97;3,6;1,2;0,44;0
27;Distrito Federal;Total;Rural;720,86;216,2;253,1;273,49;;273,49;3,53;4,07;15,75;36,15;23,94;8,14;7,61;0,54;0,27;1,05;5,27;11,27;18,85;21,72;18,92;14,73;5,61;2,05;0,53;0;13,28;15,06;17,53;19,48;18,99;11,06;3,97;0,63;0;0
27;Distrito Federal;Total;Total;742,91;236,81;266,89;287,61;309,31;288,3;2,94;4,67;10,45;19,23;17,95;17,47;13,18;10,23;3,87;0,67;2,36;6,68;12,76;17,65;20,44;17,75;12,43;6,5;2,72;0,02;10,65;11;14,88;17,93;19,68;13,41;7;3,41;2,05;0
27;Distrito Federal;Total;Urbana;743,96;237,92;267,51;287,92;309,31;288,62;2,91;4,7;10,19;18,42;17,66;17,92;13,44;10,69;4,05;0,65;2,2;6,43;12,44;17,43;20,53;17,92;12,8;6,74;2,84;0,02;10,53;10,82;14,76;17,86;19,71;13,51;7,14;3,53;2,15;0
